ceny;Kódy;;;;;;;
12||Vedecký seminár pri príležitosti životného jubilea prof. PhDr. Františka Miku, DrSc. (seminář) (2010 : Bratislava, Slovensko) OPRAVA UCL;61124  |a Vedecký seminár pri príležitosti životného jubilea prof. PhDr. Františka Miku, DrSc. (seminář) |d (2010 : |c Bratislava, Slovensko);;;;;;;
12||Umění a kritika (sympozium) (1979 : Brno, Česko);;;;;;;;
12||Kniha desetiletí Magnesia Litera (literární cena) (2011);;;;;;;;
12||Wolkrův Prostějov (5. : 1961);61124  	|a Wolkrův Prostějov (festival) |n (5. : |d 1961 : |c Prostějov, Česko);;;;;;;
12||Kniha roku 2009 (anketa);;;;;;;;
12||Křišťálová koule (anketa) OPRAVA UCL;61124|a Křišťálová koule (anketa);;;;;;;
12||Zdeněk Nejedlý - teoretik a historik umění (vědecká konference) (1973 : Praha, Česko);;;;;;;;
12||Cena Miloslava Švandrlíka;61124 |a Cena Miloslava Švandrlíka (ocenění);;;;;;;
12||Josef Čapek 1887-1945 (sympozium) (1995 : Hronov, Česko);61127  	|a Sympozium o životě a díle Josefa Čapka |d (1995 : |c Hronov, Česko) |7 ko2004250309;;;;;;;
12||Mezinárodní setkání spisovatelů a pracovníků dětské literatury (konference) (1964 : Praha, Česko) OPRAVA UCL;61127  	|a Mezinárodní setkání spisovatelů a pracovníků literatury pro mládež |d (1964 : |c Praha, Česko) |7 kn20051124049;;;;;;;
11||Kongres světové literárněvědné bohemistiky (2. : 2000 : Praha, Česko);61127 |a Česká literatura na konci tisíciletí |d (2000 : |c Praha, Česko) |7 kn20020321391;???;;;;;;
11||Měsíc autorského čtení (festival) (2011 : Brno, Česko) OPRAVA UCL; 61124 |a Měsíc autorského čtení (festival) |n (12. : |d 2011 : |c Brno, Česko);;;;;;;
11||Cena Marka Ravenhilla;61124 |a Cena Marka Ravenhilla (soutěž);;;;;;;
11||Magnesia Litera (literární cena) (2004) OPRAVA UCL;61127 |a Magnesia Litera (akce) |d (2004 : |c Praha, Česko) |7 ko2004239125;;;;;;;
11||Měsíc autorského čtení (Brno, Česko) OPRAVA UCL;61127  	|a Měsíc autorského čtení (festival) |7 ko2015880040;;;;;;;
11||Jičínské poetické jaro (2007 : Jičín, Česko);61124 |a Jičínské poetické jaro |d (2007 : |c Jičín, Česko);;;;;;;
11||Kámen úhelný, který zavrhli dělníci. Jan Hus - člověk, křesťan, kazatel. Planoucí osa českých dějin (2012 : Praha, Česko);;;;;;;;
11||"Temný obrys země na pozadí propasti..." Dvojdomoví v životě a díle Jana Čepa (2014 : Olomouc, Česko);;;;;;;;
11||Prix Bohemia (festival) (1976 : Mladá Boleslav, Česko) OPRAVA UCL;61124  	|a Prix Bohemia (festival) |n (1. : |d 1976 : |c Mladá Boleslav, Česko);;;;;;;
11||Kongres Mezinárodní federace překladatelů (FIT) (5. : 1966 : Lahti, Finsko);;;;;;;;
11||Cena Karla Hynka Máchy;61124 |a Cena Karla Hynka Máchy (ocenění);;;;;;;
11||Kniha desetiletí pro děti a mládež Magnesia Litera (literární cena) (2011);;;;;;;;
11||Kafka - Borges (bienále) (2004 : Buenos Aires, Argentina - Praha, Česko);61127  	|a Kafka - Borges |d (2004 : |c Buenos Aires, Argentina - Praha, Česko) |7 kn20041018006;;;;;;;
11||Bookstart (projekt);;;;;;;;
11||Měsíc autorského čtení (15. : 2014 : Brno, Česko);61124  	|a Měsíc autorského čtení (festival) |n (15. : |d 2014 : |c Brno, Česko);;;;;;;
11||Seminář o současné poezii (1979 : Dobříš, Česko) OPRAVA UCL;61124 |a Seminář o současné poezii |d (1979 : |c Dobříš, Česko);;;;;;;
11||Historická poetika a literatura 20. století (konference) (1987 : Praha, Česko);;;;;;;;
11||Josef Čapek (výstava) (2009 : Praha, Česko) OPRAVA UCL;61124 |a Josef Čapek (výstava) |d (2009 : |c Praha, Česko);;;;;;;
11||Konference o strukturalismu a historismu ve filozofii 20. století (konference) (1968 : Brno, Česko);;;;;;;;
11||Máchova růže;61124 |a Cena Karla Hynka Máchy (ocenění);??? Sjednotit??? Nebo nechat i variantu Máchova růže;;;;;;
11||Literární cena Pegasus;61124 |a Literární cena Pegasus (ocenění);;;;;;;
11||Mezinárodní komeniologická konference (konference) (1970 : Praha, Česko) OPRAVA UCL;61124 |a Mezinárodní komeniologická konference (konference) |d (1970 : |c Praha, Česko);;;;;;;
