BOŠEK, Pavel;http://slovnikceskeliteratury.cz/showContent.jsp?docId=9;* 31. 1. 1932;Praha;† 17. 11. 1980;Praha
BOUČEK, Josef;http://slovnikceskeliteratury.cz/showContent.jsp?docId=254;* 22. 10. 1932;Praha;† 14. 8. 1995;Praha
BOUČKOVÁ, Tereza;http://slovnikceskeliteratury.cz/showContent.jsp?docId=677;* 24. 5. 1957;Praha;;
BOUŠEK, Karel;http://slovnikceskeliteratury.cz/showContent.jsp?docId=916;* 17. 7. 1922;Ústí nad Orlicí;† 14. 12. 2003;Praha
BOZDĚCH, Vladimír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=33;* 7. 2. 1928;Hostouň (u Domažlic);† 10. 8. 1991;Praha
BRABCOVÁ, Zuzana;http://slovnikceskeliteratury.cz/showContent.jsp?docId=495;* 23. 3. 1959;Praha;† 20. 8. 2015;Praha
BRABEC, Jiří;http://slovnikceskeliteratury.cz/showContent.jsp?docId=352;* 28. 10. 1929;Kněževes (u Rakovníka);;
BRABENEC, Vratislav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=917;* 28. 4. 1943;Praha;;
BRANALD, Adolf;http://slovnikceskeliteratury.cz/showContent.jsp?docId=930;* 4. 10. 1910;Praha;† 28. 9. 2008;Praha
BRANDEJS, Vladimír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=918;* 4. 7. 1937;Opočno;† 23. 7. 2005;Opočno
BRANISLAV, František;http://slovnikceskeliteratury.cz/showContent.jsp?docId=919;* 16. 6. 1900;Beroun;† 25. 9. 1968;Praha-Modřany
BRATRŠOVSKÁ, Zdena;http://slovnikceskeliteratury.cz/showContent.jsp?docId=985;* 13. 5. 1951;Praha;;
BRDEČKA, Jiří;http://slovnikceskeliteratury.cz/showContent.jsp?docId=49;* 24. 12. 1917;Hranice (na Moravě);† 2. 6. 1982;Praha
BRDEČKOVÁ, Tereza;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1377;* 10. 2. 1957;Praha;;
BRIKCIUS, Eugen;http://slovnikceskeliteratury.cz/showContent.jsp?docId=986;* 30. 8. 1942;Praha;;
BROUK, Bohuslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1782;* 19. 11. 1912;Praha;† 19. 1. 1978;Londýn
BROUSEK, Antonín;http://slovnikceskeliteratury.cz/showContent.jsp?docId=987;* 25. 9. 1941;Praha;† 1. 5. 2013;Jindřichův Hradec
BROŽEK, Lubomír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=988;* 7. 7. 1949;Praha;;
BRŮHOVÁ, Milena;http://slovnikceskeliteratury.cz/showContent.jsp?docId=293;* 4. 5. 1931;Mirotice (u Písku);† 10. 8. 2014;Písek
BRUKNER, Josef;http://slovnikceskeliteratury.cz/showContent.jsp?docId=678;* 15. 2. 1932;Písek;† 14. 1. 2015;Praha
BRYCZ, Pavel;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1347;* 28. 7. 1968;Roudnice nad Labem;;
BŘEZINOVÁ, Ivona;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1616;* 12. 5. 1964;Ústí nad Labem;;
BŘEZOVSKÝ, Bohuslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=294;* 25. 11. 1912;Rohozná (u Poličky);† 24. 6. 1976;Praha
BUBLÍK, Ladislav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=256;* 14. 5. 1924;Bzenec;† 12. 4. 1988;Ostrava
BUDÍN, Stanislav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=353;* 23. 3. 1903;Kamenec-Podoľskij (Ukrajina);† 12. 8. 1979;Dačice (u Jindřichova Hradce)
BULÁNEK, František;http://slovnikceskeliteratury.cz/showContent.jsp?docId=679;* 21. 3. 1906;Praha;† 4. 9. 1979;Praha
BURDA, Vladimír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1366;* 25. 1. 1934;Úvaly u Prahy;† 23. 10. 1970;Praha
