Hodnota CLO;Počet v.;Hodnota AUT;Šestý pád pro 678;Název pro 370 s ind.1;Podpole F;Najít údaj v ();Najít název města v A;Název města v C;Porovnání město A:C
Prosečnice (Krhanice-P.) (Benešov);1;;;;;Krhanice-P.;Prosečnice;#HODNOTA!;#HODNOTA!
Prosetín u Pelhřimova (Tábor);1;;;;;Tábor;Prosetín u Pelhřimova;#HODNOTA!;#HODNOTA!
Prosík (Praha-Prosek) (Praha);1;;;;;Praha-Prosek;Prosík;#HODNOTA!;#HODNOTA!
Prostějov (Olomouc);1;;;;;Olomouc;Prostějov;#HODNOTA!;#HODNOTA!
Prostiboř (Tachov);1;;;;;Tachov;Prostiboř;#HODNOTA!;#HODNOTA!
Prostoměřice (Prosiměřice) (Znojmo);1;;;;;Prosiměřice;Prostoměřice;#HODNOTA!;#HODNOTA!
Prošovice v dalších letech Proseč nad Nisou (Jablonec nad Nisou);1;;;;;Jablonec nad Nisou;Prošovice v dalších letech Proseč nad Nisou;#HODNOTA!;#HODNOTA!
Provodín (Česká Lípa);1;;;;;Česká Lípa;Provodín;#HODNOTA!;#HODNOTA!
Prštice (Brno venkov);1;;;;;Brno venkov;Prštice;#HODNOTA!;#HODNOTA!
Průhonice (Praha-P.) (Praha);1;;;;;Praha-P.;Průhonice;#HODNOTA!;#HODNOTA!
Průhonice u Prahy asi (Praha - západ);1;;;;;Praha - západ;Průhonice u Prahy asi;#HODNOTA!;#HODNOTA!
Pryluka (Ukrajina);1;;;;;Ukrajina;Pryluka;#HODNOTA!;#HODNOTA!
Pržno (Frýdek Místek);1;;;;;Frýdek Místek;Pržno;#HODNOTA!;#HODNOTA!
Přečín (Prachatice);1;;;;;Prachatice;Přečín;#HODNOTA!;#HODNOTA!
Přečkovice (Uherské Hradiště);1;;;;;Uherské Hradiště;Přečkovice;#HODNOTA!;#HODNOTA!
Předboj (Praha - východ);1;;;;;Praha - východ;Předboj;#HODNOTA!;#HODNOTA!
Předbořice (Kovářov-P.) (Písek);1;;;;;Kovářov-P.;Předbořice;#HODNOTA!;#HODNOTA!
Předkláštěří (Tišnov-P.) (Brno venkov);1;;;;;Tišnov-P.;Předkláštěří;#HODNOTA!;#HODNOTA!
Předlánce (Liberec);2;;;;;Liberec;Předlánce;#HODNOTA!;#HODNOTA!
Předměřice nad Jizerou (Mladá Boleslav);1;;;;;Mladá Boleslav;Předměřice nad Jizerou;#HODNOTA!;#HODNOTA!
Předměřice nad Labem (Hradec Králové);1;;;;;Hradec Králové;Předměřice nad Labem;#HODNOTA!;#HODNOTA!
Předměřice nad Labem u Hradce Králové (Hradec Králové);1;;;;;Hradec Králové;Předměřice nad Labem u Hradce Králové;#HODNOTA!;#HODNOTA!
Předmostí (Přerov);1;;;;;Přerov;Předmostí;#HODNOTA!;#HODNOTA!
Předmostí u Přerova (Přerov);1;;;;;Přerov;Předmostí u Přerova;#HODNOTA!;#HODNOTA!
Přední Hamry v dalších letech Horní Planá (Český Krumlov);1;;;;;Český Krumlov;Přední Hamry v dalších letech Horní Planá;#HODNOTA!;#HODNOTA!
Přední Krausovy Boudy (Trutnov);1;;;;;Trutnov;Přední Krausovy Boudy;#HODNOTA!;#HODNOTA!
Přední Zborovice (Strakonice);1;;;;;Strakonice;Přední Zborovice;#HODNOTA!;#HODNOTA!
Přední Ždírnice (Trutnov);1;;;;;Trutnov;Přední Ždírnice;#HODNOTA!;#HODNOTA!
Předonín (Litoměřice);1;;;;;Litoměřice;Předonín;#HODNOTA!;#HODNOTA!
Přehvozdí (Kolín);1;;;;;Kolín;Přehvozdí;#HODNOTA!;#HODNOTA!
Přelíc (Kladno);1;;;;;Kladno;Přelíc;#HODNOTA!;#HODNOTA!
Přemyslovice (Prostějov);1;;;;;Prostějov;Přemyslovice;#HODNOTA!;#HODNOTA!
Přemyšlení (Praha - východ);1;;;;;Praha - východ;Přemyšlení;#HODNOTA!;#HODNOTA!
Přepeře (Semily);1;;;;;Semily;Přepeře;#HODNOTA!;#HODNOTA!
Přepychy (Hradec Králové);1;;;;;Hradec Králové;Přepychy;#HODNOTA!;#HODNOTA!
Přepychy (Pardubice);1;;;;;Pardubice;Přepychy;#HODNOTA!;#HODNOTA!
Přepychy (Rychnov nad Kněžnou);1;;;;;Rychnov nad Kněžnou;Přepychy;#HODNOTA!;#HODNOTA!
Přerov (Nymburk);1;;;;;Nymburk;Přerov;#HODNOTA!;#HODNOTA!
Přestavlky (Borovnice-P.) (Rychnov nad Kněžnou);1;;;;;Borovnice-P.;Přestavlky;#HODNOTA!;#HODNOTA!
Přestavlky (Olomouc);1;;;;;Olomouc;Přestavlky;#HODNOTA!;#HODNOTA!
Přeštěnice (Písek);1;;;;;Písek;Přeštěnice;#HODNOTA!;#HODNOTA!
Přeštice (Klatovy);1;;;;;Klatovy;Přeštice;#HODNOTA!;#HODNOTA!
Přeštice (Plzeň);1;;;;;Plzeň;Přeštice;#HODNOTA!;#HODNOTA!
Přešticko (Plzeň jih);1;;;;;Plzeň jih;Přešticko;#HODNOTA!;#HODNOTA!
Příbram (Brno venkov);1;;;;;Brno venkov;Příbram;#HODNOTA!;#HODNOTA!
Příbram (Plzeň);1;;;;;Plzeň;Příbram;#HODNOTA!;#HODNOTA!
Příbram (Praha);1;;;;;Praha;Příbram;#HODNOTA!;#HODNOTA!
Příbram-Drmlovo Pole v dalších letech Podlesí (Příbram);1;;;;;Příbram;Příbram-Drmlovo Pole v dalších letech Podlesí;#HODNOTA!;#HODNOTA!
Příbraz (Jindřichův Hradec);1;;;;;Jindřichův Hradec;Příbraz;#HODNOTA!;#HODNOTA!
Příčina (Rakovník);2;;;;;Rakovník;Příčina;#HODNOTA!;#HODNOTA!
Přidolí (Český Krumlov);1;;;;;Český Krumlov;Přidolí;#HODNOTA!;#HODNOTA!
Přídolí (Český Krumlov);1;;;;;Český Krumlov;Přídolí;#HODNOTA!;#HODNOTA!
Příkosice (Rokycany);1;;;;;Rokycany;Příkosice;#HODNOTA!;#HODNOTA!
Přílepy u Holešova (Zlín);1;;;;;Zlín;Přílepy u Holešova;#HODNOTA!;#HODNOTA!
Příluky (Vsetín);1;;;;;Vsetín;Příluky;#HODNOTA!;#HODNOTA!
Přimda (Tábor);1;;;;;Tábor;Přimda;#HODNOTA!;#HODNOTA!
Přimda (Tachov);1;;;;;Tachov;Přimda;#HODNOTA!;#HODNOTA!
Přímětice (Znojmo);1;;;;;Znojmo;Přímětice;#HODNOTA!;#HODNOTA!
Přípeř (Děčín);1;;;;;Děčín;Přípeř;#HODNOTA!;#HODNOTA!
Příseka (Jihlava);1;;;;;Jihlava;Příseka;#HODNOTA!;#HODNOTA!
Přistoupim (Kolín);1;;;;;Kolín;Přistoupim;#HODNOTA!;#HODNOTA!
Přívlaka (Semily);1;;;;;Semily;Přívlaka;#HODNOTA!;#HODNOTA!
Pstrina (Svidník);1;;;;;Svidník;Pstrina;#HODNOTA!;#HODNOTA!
Pšovka (Mělník-P.) (Mělník);1;;;;;Mělník-P.;Pšovka;#HODNOTA!;#HODNOTA!
Ptenín (Plzeň jih);1;;;;;Plzeň jih;Ptenín;#HODNOTA!;#HODNOTA!
Ptýrov (Mladá Boleslav);1;;;;;Mladá Boleslav;Ptýrov;#HODNOTA!;#HODNOTA!
Pudlov (Karviná);1;;;;;Karviná;Pudlov;#HODNOTA!;#HODNOTA!
Pudlov u Bohumína (Karviná);2;;;;;Karviná;Pudlov u Bohumína;#HODNOTA!;#HODNOTA!
Puerta Santa María (Španělsko);1;;;;;Španělsko;Puerta Santa María;#HODNOTA!;#HODNOTA!
Púchov (Povážská Bystrica);1;;;;;Povážská Bystrica;Púchov;#HODNOTA!;#HODNOTA!
Púchov (Trenčín);1;;;;;Trenčín;Púchov;#HODNOTA!;#HODNOTA!
Pulčín (Vsetín);1;;;;;Vsetín;Pulčín;#HODNOTA!;#HODNOTA!
Pulja (Jugoslávie);1;;;;;Jugoslávie;Pulja;#HODNOTA!;#HODNOTA!
Pullach (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Pullach;#HODNOTA!;#HODNOTA!
Pumperle (Prachatice);1;;;;;Prachatice;Pumperle;#HODNOTA!;#HODNOTA!
Purkersdorf (u Vídně) (Rakousko);1;;;;;u Vídně;Purkersdorf;#HODNOTA!;#HODNOTA!
Pustá Kamenice (Svitavy);1;;;;;Svitavy;Pustá Kamenice;#HODNOTA!;#HODNOTA!
Pustá Polom (Opava);1;;;;;Opava;Pustá Polom;#HODNOTA!;#HODNOTA!
Pustá Proseč (Jihlava);1;;;;;Jihlava;Pustá Proseč;#HODNOTA!;#HODNOTA!
Pusté Úlancy (Galanta);1;;;;;Galanta;Pusté Úlancy;#HODNOTA!;#HODNOTA!
Pustiměřské Prusy (Vyškov);1;;;;;Vyškov;Pustiměřské Prusy;#HODNOTA!;#HODNOTA!
Pustovoděrady (Slovensko);1;;;;;Slovensko;Pustovoděrady;#HODNOTA!;#HODNOTA!
Puteaux u Paříže (Francie);1;;;;;Francie;Puteaux u Paříže;#HODNOTA!;#HODNOTA!
Pyšely (Praha - východ);1;;;;;Praha - východ;Pyšely;#HODNOTA!;#HODNOTA!
Quebec (Kanada);1;;;;;Kanada;Quebec;#HODNOTA!;#HODNOTA!
Raase (Bruntál);1;;;;;Bruntál;Raase;#HODNOTA!;#HODNOTA!
Ráb v dalších letech Ráby (Maďarsko);1;;;;;Maďarsko;Ráb v dalších letech Ráby;#HODNOTA!;#HODNOTA!
Ráb v dalších letech Ráby (Pardubice);1;;;;;Pardubice;Ráb v dalších letech Ráby;#HODNOTA!;#HODNOTA!
Rabensburg (Rakousko);2;;;;;Rakousko;Rabensburg;#HODNOTA!;#HODNOTA!
Rabensgrün (Sokolov);2;;;;;Sokolov;Rabensgrün;#HODNOTA!;#HODNOTA!
Rabštejn (Česká Lípa);1;;;;;Česká Lípa;Rabštejn;#HODNOTA!;#HODNOTA!
Račerovice (Třebíč);1;;;;;Třebíč;Račerovice;#HODNOTA!;#HODNOTA!
Račice (Vyškov);1;;;;;Vyškov;Račice;#HODNOTA!;#HODNOTA!
Račice v dalších letech Račice nad Trotinou (Hradec Králové);1;;;;;Hradec Králové;Račice v dalších letech Račice nad Trotinou;#HODNOTA!;#HODNOTA!
Račov (Prachatice);1;;;;;Prachatice;Račov;#HODNOTA!;#HODNOTA!
Radauti (Rumunsko);1;;;;;Rumunsko;Radauti;#HODNOTA!;#HODNOTA!
Radautz (Rumunsko);1;;;;;Rumunsko;Radautz;#HODNOTA!;#HODNOTA!
Radborsch (Kolín);1;;;;;Kolín;Radborsch;#HODNOTA!;#HODNOTA!
Radboř v dalších letech Ratboř (Kolín);1;;;;;Kolín;Radboř v dalších letech Ratboř;#HODNOTA!;#HODNOTA!
Radčice (Chrudim);2;;;;;Chrudim;Radčice;#HODNOTA!;#HODNOTA!
Radčice u Skutče (Chrudim);1;;;;;Chrudim;Radčice u Skutče;#HODNOTA!;#HODNOTA!
Radějov (Pelhřimov);1;;;;;Pelhřimov;Radějov;#HODNOTA!;#HODNOTA!
Radešín (Litoměřice);1;;;;;Litoměřice;Radešín;#HODNOTA!;#HODNOTA!
Radešín (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Radešín;#HODNOTA!;#HODNOTA!
Radešov v dalších letech Radošov (Karlovy Vary);1;;;;;Karlovy Vary;Radešov v dalších letech Radošov;#HODNOTA!;#HODNOTA!
Radešovice u Českého Brodu (Praha - východ);1;;;;;Praha - východ;Radešovice u Českého Brodu;#HODNOTA!;#HODNOTA!
Radětice (Tábor);1;;;;;Tábor;Radětice;#HODNOTA!;#HODNOTA!
Radim (Bruntál);1;;;;;Bruntál;Radim;#HODNOTA!;#HODNOTA!
Radim část obce Studeňany (Jičín);1;;;;;Jičín;Radim část obce Studeňany;#HODNOTA!;#HODNOTA!
Radímek (Kolín);1;;;;;Kolín;Radímek;#HODNOTA!;#HODNOTA!
Radiměř (Svitavy);1;;;;;Svitavy;Radiměř;#HODNOTA!;#HODNOTA!
Radimovice (Liberec);1;;;;;Liberec;Radimovice;#HODNOTA!;#HODNOTA!
Radkov (Ždár nad Sázavou);2;;;;;Ždár nad Sázavou;Radkov;#HODNOTA!;#HODNOTA!
Radkovice (Třebíč);1;;;;;Třebíč;Radkovice;#HODNOTA!;#HODNOTA!
Radkyně (Jičín);1;;;;;Jičín;Radkyně;#HODNOTA!;#HODNOTA!
Radlice (Kolín);1;;;;;Kolín;Radlice;#HODNOTA!;#HODNOTA!
Radlík (Praha - západ);1;;;;;Praha - západ;Radlík;#HODNOTA!;#HODNOTA!
Rádlo (Jablonec nad Nisou);1;;;;;Jablonec nad Nisou;Rádlo;#HODNOTA!;#HODNOTA!
Radobčice (Plzeň jih);1;;;;;Plzeň jih;Radobčice;#HODNOTA!;#HODNOTA!
Radom (Polsko);1;;;;;Polsko;Radom;#HODNOTA!;#HODNOTA!
Radomilov (Šumperk);1;;;;;Šumperk;Radomilov;#HODNOTA!;#HODNOTA!
Radomir (Bulharsko);1;;;;;Bulharsko;Radomir;#HODNOTA!;#HODNOTA!
Radonice (Domažlice);1;;;;;Domažlice;Radonice;#HODNOTA!;#HODNOTA!
Radostín (Liberec);1;;;;;Liberec;Radostín;#HODNOTA!;#HODNOTA!
Radostín-Sedlejovice (Liberec);1;;;;;Liberec;Radostín-Sedlejovice;#HODNOTA!;#HODNOTA!
Radostovice (Tábor);1;;;;;Tábor;Radostovice;#HODNOTA!;#HODNOTA!
Radošice (Plzeň jih);1;;;;;Plzeň jih;Radošice;#HODNOTA!;#HODNOTA!
Radotín (Praha - západ);1;;;;;Praha - západ;Radotín;#HODNOTA!;#HODNOTA!
Radovce (Rumunsko);1;;;;;Rumunsko;Radovce;#HODNOTA!;#HODNOTA!
Radovesnice (Kolín);1;;;;;Kolín;Radovesnice;#HODNOTA!;#HODNOTA!
Radslavice (Benešov);1;;;;;Benešov;Radslavice;#HODNOTA!;#HODNOTA!
Radslavice (Vyškov);1;;;;;Vyškov;Radslavice;#HODNOTA!;#HODNOTA!
Radvaň (Banská Bystrica);1;;;;;Banská Bystrica;Radvaň;#HODNOTA!;#HODNOTA!
Radvanice (Kutná Hora);1;;;;;Kutná Hora;Radvanice;#HODNOTA!;#HODNOTA!
Radvanice (Přerov);1;;;;;Přerov;Radvanice;#HODNOTA!;#HODNOTA!
Radvánovice (Karlovice-R.) (Semily);1;;;;;Karlovice-R.;Radvánovice;#HODNOTA!;#HODNOTA!
Radvice (Přerov);1;;;;;Přerov;Radvice;#HODNOTA!;#HODNOTA!
Radwor (Německo);1;;;;;Německo;Radwor;#HODNOTA!;#HODNOTA!
Rachov (Ukrajina);1;;;;;Ukrajina;Rachov;#HODNOTA!;#HODNOTA!
Ráj (Česká Lípa);1;;;;;Česká Lípa;Ráj;#HODNOTA!;#HODNOTA!
Ráj (Karviná-R.) (Karviná);1;;;;;Karviná-R.;Ráj;#HODNOTA!;#HODNOTA!
Ráj u Golčova Jeníkova (Havlíčkův Brod);1;;;;;Havlíčkův Brod;Ráj u Golčova Jeníkova;#HODNOTA!;#HODNOTA!
Rajec ();1;;;;;;Rajec;#HODNOTA!;#HODNOTA!
Rájec (Šumperk);1;;;;;Šumperk;Rájec;#HODNOTA!;#HODNOTA!
Rájec nad Svitavou (Blansko);1;;;;;Blansko;Rájec nad Svitavou;#HODNOTA!;#HODNOTA!
Rájec u Trenčína (Žilina);1;;;;;Žilina;Rájec u Trenčína;#HODNOTA!;#HODNOTA!
Ráječek (Šumperk);3;;;;;Šumperk;Ráječek;#HODNOTA!;#HODNOTA!
Rajhrad (Brno);1;;;;;Brno;Rajhrad;#HODNOTA!;#HODNOTA!
Rakodavy u Kojetína (Přerov);1;;;;;Přerov;Rakodavy u Kojetína;#HODNOTA!;#HODNOTA!
Rakousko (Austrálie);1;;;;;Austrálie;Rakousko;#HODNOTA!;#HODNOTA!
Rakousko (Rakousko);19;Rakousko$$7ge130612;;;;Rakousko;Rakousko;#HODNOTA!;#HODNOTA!
Rakousko asi (Rakousko);1;;;;;Rakousko;Rakousko asi;#HODNOTA!;#HODNOTA!
Rakov (Písek);1;;;;;Písek;Rakov;#HODNOTA!;#HODNOTA!
Rakov (Přerov);1;;;;;Přerov;Rakov;#HODNOTA!;#HODNOTA!
Rakovo (Martin);1;;;;;Martin;Rakovo;#HODNOTA!;#HODNOTA!
Rakša (Martin);3;;;;;Martin;Rakša;#HODNOTA!;#HODNOTA!
Rakšice (Znojmo);1;;;;;Znojmo;Rakšice;#HODNOTA!;#HODNOTA!
Rakvice (Bruntál);1;;;;;Bruntál;Rakvice;#HODNOTA!;#HODNOTA!
Raleigh (USA);1;;;;;USA;Raleigh;#HODNOTA!;#HODNOTA!
Ramat Gan (Izrael);1;;;;;Izrael;Ramat Gan;#HODNOTA!;#HODNOTA!
Ramena pod Zlatodolem Roudným u Vlašimi (Benešov);1;;;;;Benešov;Ramena pod Zlatodolem Roudným u Vlašimi;#HODNOTA!;#HODNOTA!
Rané (Louny);1;;;;;Louny;Rané;#HODNOTA!;#HODNOTA!
Rankovice (Karlovy Vary);1;;;;;Karlovy Vary;Rankovice;#HODNOTA!;#HODNOTA!
Rankowitz (Karlovy Vary);1;;;;;Karlovy Vary;Rankowitz;#HODNOTA!;#HODNOTA!
Ranzengrün (Karlovy Vary);1;;;;;Karlovy Vary;Ranzengrün;#HODNOTA!;#HODNOTA!
Rasochy (Kolín);1;;;;;Kolín;Rasochy;#HODNOTA!;#HODNOTA!
Rašov (Blansko);1;;;;;Blansko;Rašov;#HODNOTA!;#HODNOTA!
Rašovice (Klášterec nad Ohří-R.) (Chomutov);1;;;;;Klášterec nad Ohří-R.;Rašovice;#HODNOTA!;#HODNOTA!
Rašovice (Nymburk);1;;;;;Nymburk;Rašovice;#HODNOTA!;#HODNOTA!
Rataje (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Rataje;#HODNOTA!;#HODNOTA!
Rataje část Popovice (Kroměříž);1;;;;;Kroměříž;Rataje část Popovice;#HODNOTA!;#HODNOTA!
Ratboř (Kolín);1;;;;;Kolín;Ratboř;#HODNOTA!;#HODNOTA!
Ratěnice (Nymburk);1;;;;;Nymburk;Ratěnice;#HODNOTA!;#HODNOTA!
Ratiboř (Kolín);1;;;;;Kolín;Ratiboř;#HODNOTA!;#HODNOTA!
Ratiboř (Písek);1;;;;;Písek;Ratiboř;#HODNOTA!;#HODNOTA!
Ratibořice (Náchod);1;;;;;Náchod;Ratibořice;#HODNOTA!;#HODNOTA!
Ratibořské Hory (Tábor);1;;;;;Tábor;Ratibořské Hory;#HODNOTA!;#HODNOTA!
Ratiškovice (Hodonín);1;;;;;Hodonín;Ratiškovice;#HODNOTA!;#HODNOTA!
Ratiškovice v dalších letech Ratíškovice (Hodonín);1;;;;;Hodonín;Ratiškovice v dalších letech Ratíškovice;#HODNOTA!;#HODNOTA!
Ratková (Revúca);1;;;;;Revúca;Ratková;#HODNOTA!;#HODNOTA!
Rauden (Rakousko);1;;;;;Rakousko;Rauden;#HODNOTA!;#HODNOTA!
Ravelsbach (Rakousko);1;;;;;Rakousko;Ravelsbach;#HODNOTA!;#HODNOTA!
Razová (Bruntál);1;;;;;Bruntál;Razová;#HODNOTA!;#HODNOTA!
Redhill (Velká Británie);1;;;;;Velká Británie;Redhill;#HODNOTA!;#HODNOTA!
Regen (Německo);1;;;;;Německo;Regen;#HODNOTA!;#HODNOTA!
Regensburg (Německo);1;;;;;Německo;Regensburg;#HODNOTA!;#HODNOTA!
Rechovot (Izrael);1;;;;;Izrael;Rechovot;#HODNOTA!;#HODNOTA!
Reigelsdorf (Bruntál);1;;;;;Bruntál;Reigelsdorf;#HODNOTA!;#HODNOTA!
Reichenbach (Německo);1;;;;;Německo;Reichenbach;#HODNOTA!;#HODNOTA!
Reichenbach (Polsko);1;;;;;Polsko;Reichenbach;#HODNOTA!;#HODNOTA!
Reichenbach/Oberlausitz (Německo);1;;;;;Německo;Reichenbach/Oberlausitz;#HODNOTA!;#HODNOTA!
Reichenhall (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Reichenhall;#HODNOTA!;#HODNOTA!
Reinfeld (Německo);1;;;;;Německo;Reinfeld;#HODNOTA!;#HODNOTA!
Reitendorf (Šumperk);1;;;;;Šumperk;Reitendorf;#HODNOTA!;#HODNOTA!
Rejdice (Jablonec nad Nisou);1;;;;;Jablonec nad Nisou;Rejdice;#HODNOTA!;#HODNOTA!
Rejchartice (Šumperk);1;;;;;Šumperk;Rejchartice;#HODNOTA!;#HODNOTA!
Rejšice (Mladá Boleslav);1;;;;;Mladá Boleslav;Rejšice;#HODNOTA!;#HODNOTA!
Rejta (České Budějovice);1;;;;;České Budějovice;Rejta;#HODNOTA!;#HODNOTA!
Rejvíz (Bruntál);1;;;;;Bruntál;Rejvíz;#HODNOTA!;#HODNOTA!
Rekawinkel (Rakousko);1;;;;;Rakousko;Rekawinkel;#HODNOTA!;#HODNOTA!
Remeš (Francie);1;;;;;Francie;Remeš;#HODNOTA!;#HODNOTA!
Rennersdorf (Děčín);1;;;;;Děčín;Rennersdorf;#HODNOTA!;#HODNOTA!
Reno (USA);1;;;;;USA;Reno;#HODNOTA!;#HODNOTA!
Repino u Petrohradu (SSSR);1;;;;;SSSR;Repino u Petrohradu;#HODNOTA!;#HODNOTA!
Rere (Chile);1;;;;;Chile;Rere;#HODNOTA!;#HODNOTA!
Reutte (Rakousko);1;;;;;Rakousko;Reutte;#HODNOTA!;#HODNOTA!
Revúca (Revúca);1;;;;;Revúca;Revúca;#HODNOTA!;#HODNOTA!
Revúca (Rožňava);1;;;;;Rožňava;Revúca;#HODNOTA!;#HODNOTA!
Reykjavik (Island);1;;;;;Island;Reykjavik;#HODNOTA!;#HODNOTA!
Rhinebeck (USA);1;;;;;USA;Rhinebeck;#HODNOTA!;#HODNOTA!
Riedenburg (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Riedenburg;#HODNOTA!;#HODNOTA!
Riedenburg/Oberpfalz (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Riedenburg/Oberpfalz;#HODNOTA!;#HODNOTA!
Riegersburk (Rakousko);1;;;;;Rakousko;Riegersburk;#HODNOTA!;#HODNOTA!
Riga (SSSR);1;;;;;SSSR;Riga;#HODNOTA!;#HODNOTA!
Richfield (USA);1;;;;;USA;Richfield;#HODNOTA!;#HODNOTA!
Richmond (USA);1;;;;;USA;Richmond;#HODNOTA!;#HODNOTA!
Rijeka (Chorvatsko);1;;;;;Chorvatsko;Rijeka;#HODNOTA!;#HODNOTA!
Rijeka (Jugoslávie);1;;;;;Jugoslávie;Rijeka;#HODNOTA!;#HODNOTA!
Rimberk (Pelhřimov);1;;;;;Pelhřimov;Rimberk;#HODNOTA!;#HODNOTA!
Rišon le-Cijon (Izrael);1;;;;;Izrael;Rišon le-Cijon;#HODNOTA!;#HODNOTA!
Rittelhof (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Rittelhof;#HODNOTA!;#HODNOTA!
Rittsteig (Pasov-R.) (Spolková republ. Německo);1;;;;;Pasov-R.;Rittsteig;#HODNOTA!;#HODNOTA!
Riverside (USA);1;;;;;USA;Riverside;#HODNOTA!;#HODNOTA!
Riverside Chapel (USA);1;;;;;USA;Riverside Chapel;#HODNOTA!;#HODNOTA!
Rjeka (Chorvatsko);1;;;;;Chorvatsko;Rjeka;#HODNOTA!;#HODNOTA!
Robousy (Jičín);1;;;;;Jičín;Robousy;#HODNOTA!;#HODNOTA!
Rockville (USA);1;;;;;USA;Rockville;#HODNOTA!;#HODNOTA!
Rodaun (Rakousko);1;;;;;Rakousko;Rodaun;#HODNOTA!;#HODNOTA!
Rodisfort (Karlovy Vary);1;;;;;Karlovy Vary;Rodisfort;#HODNOTA!;#HODNOTA!
Rohozec (Louny);1;;;;;Louny;Rohozec;#HODNOTA!;#HODNOTA!
Rohoznice (Jičín);1;;;;;Jičín;Rohoznice;#HODNOTA!;#HODNOTA!
Rohožno (SSSR);1;;;;;SSSR;Rohožno;#HODNOTA!;#HODNOTA!
Rohr (Spolková republ. Německo);2;;;;;Spolková republ. Německo;Rohr;#HODNOTA!;#HODNOTA!
Rohr (Velká Británie);1;;;;;Velká Británie;Rohr;#HODNOTA!;#HODNOTA!
Röhrsdorf bei Hainspach (Děčín);1;;;;;Děčín;Röhrsdorf bei Hainspach;#HODNOTA!;#HODNOTA!
Rochester (USA);1;;;;;USA;Rochester;#HODNOTA!;#HODNOTA!
Roketnice (Přerov);1;;;;;Přerov;Roketnice;#HODNOTA!;#HODNOTA!
Roketnice (Rokytnice) (Přerov);1;;;;;Rokytnice;Roketnice;#HODNOTA!;#HODNOTA!
Rokitnitz (Rychnov nad Kněžnou);1;;;;;Rychnov nad Kněžnou;Rokitnitz;#HODNOTA!;#HODNOTA!
Rokytnice (Přerov);1;;;;;Přerov;Rokytnice;#HODNOTA!;#HODNOTA!
Rokytnice (Semily);1;;;;;Semily;Rokytnice;#HODNOTA!;#HODNOTA!
Rokytnice (Vsetín);1;;;;;Vsetín;Rokytnice;#HODNOTA!;#HODNOTA!
Rokytnice nad Rokytnou (Třebíč);1;;;;;Třebíč;Rokytnice nad Rokytnou;#HODNOTA!;#HODNOTA!
Rokytno (Pardubice);1;;;;;Pardubice;Rokytno;#HODNOTA!;#HODNOTA!
Rokytovec (Mladá Boleslav);1;;;;;Mladá Boleslav;Rokytovec;#HODNOTA!;#HODNOTA!
Romava (Jindřichův Hradec);1;;;;;Jindřichův Hradec;Romava;#HODNOTA!;#HODNOTA!
Ropice (Frýdek Místek);1;;;;;Frýdek Místek;Ropice;#HODNOTA!;#HODNOTA!
Roprachtice (Semily);1;;;;;Semily;Roprachtice;#HODNOTA!;#HODNOTA!
Rosario (Argentina);1;;;;;Argentina;Rosario;#HODNOTA!;#HODNOTA!
Roscoff (Francie);1;;;;;Francie;Roscoff;#HODNOTA!;#HODNOTA!
Rosdalowitz (Nymburk);1;;;;;Nymburk;Rosdalowitz;#HODNOTA!;#HODNOTA!
Roseč (Jindřichův Hradec);1;;;;;Jindřichův Hradec;Roseč;#HODNOTA!;#HODNOTA!
Rosemont (USA);1;;;;;USA;Rosemont;#HODNOTA!;#HODNOTA!
Rosendorf (Děčín);1;;;;;Děčín;Rosendorf;#HODNOTA!;#HODNOTA!
Rosenhagen (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Rosenhagen;#HODNOTA!;#HODNOTA!
Rosenheim (Německo);1;;;;;Německo;Rosenheim;#HODNOTA!;#HODNOTA!
Rosenthal (Liberec);1;;;;;Liberec;Rosenthal;#HODNOTA!;#HODNOTA!
Rosenthal (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Rosenthal;#HODNOTA!;#HODNOTA!
Roschowitz německy (Chomutov);1;;;;;Chomutov;Roschowitz německy;#HODNOTA!;#HODNOTA!
Rosice (Pardubice);1;;;;;Pardubice;Rosice;#HODNOTA!;#HODNOTA!
Rosnice (Hradec Králové);1;;;;;Hradec Králové;Rosnice;#HODNOTA!;#HODNOTA!
Rosswald (Bruntál);1;;;;;Bruntál;Rosswald;#HODNOTA!;#HODNOTA!
Rostaní (Svitavy);1;;;;;Svitavy;Rostaní;#HODNOTA!;#HODNOTA!
Rostěnice (Vyškov);1;;;;;Vyškov;Rostěnice;#HODNOTA!;#HODNOTA!
Rostock (Německo);1;;;;;Německo;Rostock;#HODNOTA!;#HODNOTA!
Rostov na Donu (Rusko);1;;;;;Rusko;Rostov na Donu;#HODNOTA!;#HODNOTA!
Rostov na Donu (SSSR);1;;;;;SSSR;Rostov na Donu;#HODNOTA!;#HODNOTA!
Rošťoutky (Vyškov);1;;;;;Vyškov;Rošťoutky;#HODNOTA!;#HODNOTA!
