Hodnota CLO;Počet v.;Hodnota AUT;Šestý pád pro 678;Název pro 370 s ind.1;Podpole F;Najít údaj v ();Najít název města v A;Název města v C;Porovnání město A:C
Brno-Černá Pole (Brno);1;Černá Pole (Brno, Česko)$$7ge131671;;;;Brno;Brno-Černá Pole;Černá Pole;NEPRAVDA
Brno-Černovice (Brno);2;Černovice (Brno, Česko)$$7ge137239;;;;Brno;Brno-Černovice;Černovice;NEPRAVDA
Brno-Husovice (Brno);2;Husovice (Brno, Česko)$$7ge129367;;;;Brno;Brno-Husovice;Husovice;NEPRAVDA
Brno-Královo Pole (Brno);6;Královo Pole (Brno, Česko)$$7ge129696;;;;Brno;Brno-Královo Pole;Královo Pole;NEPRAVDA
Brno-Řečkovice (Brno);2;Řečkovice (Brno, Česko)$$7ge131744;;;;Brno;Brno-Řečkovice;Řečkovice;NEPRAVDA
Brno-Žabovřesky (Brno);3;Žabovřesky (Brno, Česko)$$7ge131579;;;;Brno;Brno-Žabovřesky;Žabovřesky;NEPRAVDA
Brno-Židenice (Brno);7;Židenice (Brno, Česko)$$7ge131613;;;;Brno;Brno-Židenice;Židenice;NEPRAVDA
Brodek v dalších letech Brodek u Konice (Prostějov);1;Brodek u Konice (Česko)$$7ge307068;;;;Prostějov;Brodek v dalších letech Brodek u Konice;Brodek u Konice;NEPRAVDA
Bromberg/Bydgoszcz (Polsko);1;Bydhošť (Polsko)$$7ge134094;;;;Polsko;Bromberg/Bydgoszcz;Bydhošť;NEPRAVDA
Brtnice u Jihlavy (Jihlava);1;Brtnice (Jihlava, Česko)$$7ge128835;;;;Jihlava;Brtnice u Jihlavy;Brtnice;NEPRAVDA
Bruck nad Murou (Rakousko);2;Bruck an der Mur (Rakousko)$$7ge673761;;;;Rakousko;Bruck nad Murou;Bruck an der Mur;NEPRAVDA
Bruch v dalších letech Lom (Most);1;Lom (Most, Česko)$$7ge367601;;;;Most;Bruch v dalších letech Lom;Lom;NEPRAVDA
Brumov (Zlín);4;Brumov-Bylnice (Česko)$$7ge128836;;;;Zlín;Brumov;Brumov-Bylnice;NEPRAVDA
Brün (Brno);2;Brno (Česko)$$7ge134084;;;;Brno;Brün;Brno;NEPRAVDA
Brünn (Brno);1;Brno (Česko)$$7ge134084;;;;Brno;Brünn;Brno;NEPRAVDA
Brüx (Most);3;Most (Česko)$$7ge130104;;;;Most;Brüx;Most;NEPRAVDA
Brüx asi (Most);1;Most (Česko)$$7ge130104;;;;Most;Brüx asi;Most;NEPRAVDA
Budapest (Maďarsko);9;Budapešť (Maďarsko)$$7ge128848;;;;Maďarsko;Budapest;Budapešť;NEPRAVDA
Budapest (Slovensko);1;Budapešť (Maďarsko)$$7ge128848;;;;Slovensko;Budapest;Budapešť;NEPRAVDA
Budapešt (Maďarsko);3;Budapešť (Maďarsko)$$7ge128848;;;;Maďarsko;Budapešt;Budapešť;NEPRAVDA
Budějovice (České Budějovice);7;České Budějovice (Česko)$$7ge131699;;;;České Budějovice;Budějovice;České Budějovice;NEPRAVDA
Budějovice (České Budějovice) (České Budějovice);1;České Budějovice (Česko)$$7ge131699;;;;České Budějovice;Budějovice;České Budějovice;NEPRAVDA
Budějovice v dalších letech České Budějovice (České Budějovice);1;České Budějovice (Česko)$$7ge131699;;;;České Budějovice;Budějovice v dalších letech České Budějovice;České Budějovice;NEPRAVDA
Budín (Budapešt) (Maďarsko);1;Buda (Budapešť, Maďarsko)$$7ge1029346;;;;Budapešt;Budín;Buda;NEPRAVDA
Budín (Budapešť) (Maďarsko);1;Buda (Budapešť, Maďarsko)$$7ge1029346;;;;Budapešť;Budín;Buda;NEPRAVDA
Budín (Maďarsko);2;Buda (Budapešť, Maďarsko)$$7ge1029346;;;;Maďarsko;Budín;Buda;NEPRAVDA
Budín (Uhry) (Maďarsko);1;Buda (Budapešť, Maďarsko)$$7ge1029346;;;;Uhry;Budín;Buda;NEPRAVDA
Budiškovice (Jindřichův Hradec);1;Budíškovice (Česko)$$7ge336766;;;;Jindřichův Hradec;Budiškovice;Budíškovice;NEPRAVDA
Budišov v dalších letech Budišov nad Budišovkou (Opava);1;Budišov nad Budišovkou (Česko)$$7ge128851;;;;Opava;Budišov v dalších letech Budišov nad Budišovkou;Budišov nad Budišovkou;NEPRAVDA
Budweis (České Budějovice);4;České Budějovice (Česko)$$7ge131699;;;;České Budějovice;Budweis;České Budějovice;NEPRAVDA
Budyně nad Orlicí (Litoměřice);1;Budyně nad Ohří (Česko)$$7ge128854;;;;Litoměřice;Budyně nad Orlicí;Budyně nad Ohří;NEPRAVDA
Buchau (Karlovy Vary);1;Bochov (Česko)$$7ge241759;;;;Karlovy Vary;Buchau;Bochov;NEPRAVDA
Buchenwald k.t. (Spolková republ. Německo);7;Buchenwald (Německo)$$7ge632002;;;;Spolková republ. Německo;Buchenwald k.t.;Buchenwald;NEPRAVDA
Buchwald (Prachatice);1;Bučina (Česko : zaniklá obec)$$7ge337692;;;;Prachatice;Buchwald;Bučina;NEPRAVDA
Bujesily osada obce Liblín (Rokycany);1;Bujesily (Česko)$$7ge327053;;;;Rokycany;Bujesily osada obce Liblín;Bujesily;NEPRAVDA
Bukin, Báčka (Jugoslávie);1;Bačka (Maďarsko a Srbsko)$$7ge440201;;;;Jugoslávie;Bukin, Báčka;Bačka;NEPRAVDA
Bukva v dalších letech Bukovany (Sokolov);1;Bukovany (Sokolov, Česko)$$7ge137200;;;;Sokolov;Bukva v dalších letech Bukovany;Bukovany;NEPRAVDA
Bylnice (Zlín);2;Brumov-Bylnice (Česko)$$7ge128836;;;;Zlín;Bylnice;Brumov-Bylnice;NEPRAVDA
Bystré u Nového Města nad Metují (Náchod);1;Bystré (Stárkov, Česko)$$7ge525496;;;;Náchod;Bystré u Nového Města nad Metují;Bystré;NEPRAVDA
Bystrzyca Klodska (Polsko);1;Kladská Bystřice (Polsko)$$7ge557003;;;;Polsko;Bystrzyca Klodska;Kladská Bystřice;NEPRAVDA
Bystřice (B. nad Pernštejnem) (Ždár nad Sázavou);1;Bystřice nad Pernštejnem (Česko)$$7ge128869;;;;B. nad Pernštejnem;Bystřice;Bystřice nad Pernštejnem;NEPRAVDA
Bystřice nad Olší (Frýdek Místek);2;Bystřice (Frýdek-Místek, Česko)$$7ge114513;;;;Frýdek Místek;Bystřice nad Olší;Bystřice;NEPRAVDA
Bystřice nad Olzou (Frýdek Místek);1;Bystřice (Frýdek-Místek, Česko)$$7ge114513;;;;Frýdek Místek;Bystřice nad Olzou;Bystřice;NEPRAVDA
Bystřice pod Pernštýnem (Ždár nad Sázavou);1;Bystřice nad Pernštejnem (Česko)$$7ge128869;;;;Ždár nad Sázavou;Bystřice pod Pernštýnem;Bystřice nad Pernštejnem;NEPRAVDA
Bytouchov (Semily);1;Bítouchov (Semily, Česko)$$7xx0079417;xx;;;Semily;Bytouchov;Bítouchov;NEPRAVDA
Casablanka (Maroko);1;Casablanca (Maroko)$$7ge242727;;;;Maroko;Casablanka;Casablanca;NEPRAVDA
Celja (Jugoslávie);1;Celje (Slovinsko)$$7ge128908;;;;Jugoslávie;Celja;Celje;NEPRAVDA
Ceprowitz (Strakonice);1;Čepřovice (Česko)$$7ge337635;;;;Strakonice;Ceprowitz;Čepřovice;NEPRAVDA
Ceraz (Vesce-Čeraz) (Tábor);1;Čeraz (Vesce, Tábor, Česko)$$7ge337636;;;;Vesce-Čeraz;Ceraz;Čeraz;NEPRAVDA
Cesarei (Izrael);1;Caesaera (Izrael)$$7ge643720;;;;Izrael;Cesarei;Caesaera;NEPRAVDA
Cieszyn (Karviná);1;Český Těšín (Česko)$$7ge128622;;;;Karviná;Cieszyn;Český Těšín;NEPRAVDA
Citoliby (Louny);3;Cítoliby (Česko)$$7ge206789;;;;Louny;Citoliby;Cítoliby;NEPRAVDA
Cítov (Přerov);1;Citov (Přerov, Česko)$$7ge389863;;;;Přerov;Cítov;Citov;NEPRAVDA
Corsignano u města Piacenza (Itálie);1;Pienza (Itálie)$$7ge419757;;;;Itálie;Corsignano u města Piacenza;Pienza;NEPRAVDA
Cvikov (Spolková republ. Německo);1;Zwickau (Německo)$$7ge138087;;;;Spolková republ. Německo;Cvikov;Zwickau;NEPRAVDA
Czegled v Uhrách (Maďarsko);1;Cegléd (Maďarsko)$$7ge885633;;;;Maďarsko;Czegled v Uhrách;Cegléd;NEPRAVDA
Čanka (Rychnov nad Kněžnou);1;Čánka (Opočno, Rychnov nad Kněžnou, Česko)$$7ge663622;;;;Rychnov nad Kněžnou;Čanka;Čánka;NEPRAVDA
Častá u Pezinku ();1;Častá (Slovensko)$$7ge306994;;;;;Častá u Pezinku;Častá;NEPRAVDA
Čechtice u Prahy (Benešov);1;Čechtice (Česko)$$7ge131644;;;;Benešov;Čechtice u Prahy;Čechtice;NEPRAVDA
Čejkov u Kamenice nad Lipou (Pelhřimov);1;Čejkov (Nový Rychnov, Česko)$$7ge796205;;;;Pelhřimov;Čejkov u Kamenice nad Lipou;Čejkov;NEPRAVDA
Čejkovice u Jičína (Jihlava);1;Čejkovice (Podhradí, Jičín, Česko)$$7ge718505;;;;Jihlava;Čejkovice u Jičína;Čejkovice;NEPRAVDA
Čerčín v dalších letech Černčín (Vyškov);1;Černčín (Bučovice, Vyškov, Česko)$$7ge958239;;;;Vyškov;Čerčín v dalších letech Černčín;Černčín;NEPRAVDA
Čermná (Ústí nad Orlicí);1;Dolní Čermná (Česko)$$7ge129055;;;;Ústí nad Orlicí;Čermná;Dolní Čermná;NEPRAVDA
Čermná u Kolovče (Domažlice);1;Čermná (Domažlice, Česko)$$7ge232075;;;;Domažlice;Čermná u Kolovče;Čermná;NEPRAVDA
Čermná u Letohradu (Rychnov nad Kněžnou);1;Dolní Čermná (Česko)$$7ge129055;;;;Rychnov nad Kněžnou;Čermná u Letohradu;Dolní Čermná;NEPRAVDA
Čermná u Staňkova (Domažlice);1;Čermná (Domažlice, Česko)$$7ge232075;;;;Domažlice;Čermná u Staňkova;Čermná;NEPRAVDA
Černíkovice u Plzně (Plzeň);1;Černíkovice (Plzeň-sever, Česko)$$7ge326852;;;;Plzeň;Černíkovice u Plzně;Černíkovice;NEPRAVDA
Černovce (Ukrajina);2;Čern?vc? (Ukrajina)$$7ge480819;;;;Ukrajina;Černovce;Čern?vc?;NEPRAVDA
Černovice (Bukovina) (SSSR);1;Čern?vc? (Ukrajina)$$7ge480819;;;;Bukovina;Černovice;Čern?vc?;NEPRAVDA
Černovice (Bukovina, Ukrajina) (SSSR);1;Čern?vc? (Ukrajina)$$7ge480819;;;;Bukovina, Ukrajina;Černovice;Čern?vc?;NEPRAVDA
Černovice u Tábora (Pelhřimov);1;Černovice (Pelhřimov, Česko)$$7ge131667;;;;Pelhřimov;Černovice u Tábora;Černovice;NEPRAVDA
Černý Kostelec (Kostelec nad Černými lesy) (Kolín);1;Kostelec nad Černými lesy (Česko)$$7ge129646;;;;Kostelec nad Černými lesy;Černý Kostelec;Kostelec nad Černými lesy;NEPRAVDA
Červené Dřevo osada obce Fleky (Klatovy);1;Červené Dřevo (Česko : zaniklá obec)$$7ge327088;;;;Klatovy;Červené Dřevo osada obce Fleky;Červené Dřevo;NEPRAVDA
Česká Bříza dříve Německá Bříza (Plzeň sever);1;Česká Bříza (Česko)$$7ge326853;;;;Plzeň sever;Česká Bříza dříve Německá Bříza;Česká Bříza;NEPRAVDA
České Budějovce (České Budějovice);1;České Budějovice (Česko)$$7ge131699;;;;České Budějovice;České Budějovce;České Budějovice;NEPRAVDA
České Budějovice asi (České Budějovice);1;České Budějovice (Česko)$$7ge131699;;;;České Budějovice;České Budějovice asi;České Budějovice;NEPRAVDA
České Budějovice-Čtyři Dvory (České Budějovice);1;Čtyři Dvory (České Budějovice, Česko)$$7ge337655;;;;České Budějovice;České Budějovice-Čtyři Dvory;Čtyři Dvory;NEPRAVDA
Čestín (Klatovy);1;Nový Čestín (Mochtín, Česko)$$7ge478513;;;;Klatovy;Čestín;Nový Čestín;NEPRAVDA
Čestín tehdy Čestin Kostel (Kutná Hora);1;Čestín (Kutná Hora, Česko)$$7ge117319;;;;Kutná Hora;Čestín tehdy Čestin Kostel;Čestín;NEPRAVDA
Čičenice (Písek);1;Číčenice (Česko)$$7ge131733;;;;Písek;Čičenice;Číčenice;NEPRAVDA
